userName,taskNumber,focus,ExperimentState,elapsedTime,headsetX,headsetY,headsetZ,3DCameraXPos,3DCameraYPos,3DCameraZPos,3DCameraXRot,3DCameraYRot,3DCameraZRot,distance,taskID,currentSliver.transform.position.x,currentSliver.transform.position.y,currentSliver.transform.position.z,currentTarget.transform.position.x,currentTarget.transform.position.y,currentTarget.transform.position.z,objectXLength,objectYLength,objectZLength,currentObjectRotationX,currentObjectRotationY,currentObjectRotationZ,targetRotationX,targetRotationY,targetRotationZ,currentObjectRotationXInspector,currentObjectRotationYInspector,currentObjectRotationZInspector,targetRotationXInspector,targetRotationYInspector,targetRotationZInspector,angle,mouseX,mouseY,button,side,status
anditest,0,Tutorial,Tutorial,0.02,-32.45,1.39,-4.16,-3.116133,2.326306,-7.624052,12.52,40.474,0,1.48804,0,-0.34,0.63,-1.48104,-0.34,0.63,0.007,0.9920264,0.9920264,0.9920264,0,0,0,0,0,0,0,0,0,0,0,0,0,883,1144,,,
anditest,0,Tutorial,Tutorial,1.529568,-32.45,1.39,-4.16,-3.116133,2.326306,-7.624052,12.52,40.474,0,1.48804,0,-0.34,0.63,-1.48104,-0.34,0.63,0.007,0.9920264,0.9920264,0.9920264,0,0,0,0,0,0,0,0,0,0,0,0,0,1014.774,812.0838,,,
anditest,0,Tutorial,Tutorial,1.636252,-32.45,1.39,-4.16,-3.116133,2.326306,-7.624052,12.52,40.474,0,1.48804,0,-0.34,0.63,-1.48104,-0.34,0.63,0.007,0.9920264,0.9920264,0.9920264,0,0,0,0,0,0,0,0,0,0,0,0,0,967.1444,781.1246,,,
anditest,0,Tutorial,Tutorial,1.748646,-32.45,1.39,-4.16,-3.116133,2.326306,-7.624052,12.52,40.474,0,1.48804,0,-0.34,0.63,-1.48104,-0.34,0.63,0.007,0.9920264,0.9920264,0.9920264,0,0,0,0,0,0,0,0,0,0,0,0,0,996.9129,808.5115,,,
anditest,0,Tutorial,Tutorial,1.858002,-32.45,1.39,-4.16,-3.116133,2.326306,-7.624052,12.52,40.474,0,1.48804,0,-0.34,0.63,-1.48104,-0.34,0.63,0.007,0.9920264,0.9920264,0.9920264,0,0,0,0,0,0,0,0,0,0,0,0,0,1316.031,1025.226,,,
anditest,0,Tutorial,Tutorial,1.965748,-32.45,1.39,-4.16,-3.116133,2.326306,-7.624052,12.52,40.474,0,1.48804,0,-0.34,0.63,-1.48104,-0.34,0.63,0.007,0.9920264,0.9920264,0.9920264,0,0,0,0,0,0,0,0,0,0,0,0,0,1358.897,1018.082,,,
anditest,0,Tutorial,Tutorial,2.072975,-32.45,1.39,-4.16,-3.116133,2.326306,-7.624052,12.52,40.474,0,1.48804,0,-0.34,0.63,-1.48104,-0.34,0.63,0.007,0.9920264,0.9920264,0.9920264,0,0,0,0,0,0,0,0,0,0,0,0,0,1371.996,994.2668,,,
anditest,0,Tutorial,Tutorial,2.182134,-32.45,1.39,-4.16,-3.116133,2.326306,-7.624052,12.52,40.474,0,1.48804,0,-0.34,0.63,-1.48104,-0.34,0.63,0.007,0.9920264,0.9920264,0.9920264,0,0,0,0,0,0,0,0,0,0,0,0,0,1358.897,976.4057,,,
anditest,0,Tutorial,Tutorial,2.290361,-32.45,1.39,-4.16,-3.116133,2.326306,-7.624052,12.52,40.474,0,1.48804,0,-0.34,0.63,-1.48104,-0.34,0.63,0.007,0.9920264,0.9920264,0.9920264,0,0,0,0,0,0,0,0,0,0,0,0,0,1344.609,969.2613,,,
anditest,0,Tutorial,Tutorial,2.346355,-32.45,1.39,-4.16,-3.116133,2.326306,-7.624052,12.52,40.474,0,1.48804,0,-0.34,0.63,-1.48104,-0.34,0.63,0.007,0.9920264,0.9920264,0.9920264,0,0,0,0,0,0,0,0,0,0,0,0,0,1344.609,969.2613,mouse,left,down
anditest,0,Tutorial,Tutorial,2.39639,-32.45,1.39,-4.16,-3.116133,2.326306,-7.624052,12.52,40.474,0,1.48804,0,-0.34,0.63,-1.48104,-0.34,0.63,0.007,0.9920264,0.9920264,0.9920264,0,0,0,0,0,0,0,0,0,0,0,0,0,1344.609,969.2613,,,
anditest,0,Tutorial,Tutorial,2.642143,-32.45,1.39,-4.16,-3.116133,2.326306,-7.624052,12.52,40.474,0,1.48804,0,-0.34,0.63,-1.48104,-0.34,0.63,0.007,0.9920264,0.9920264,0.9920264,0,0,0,0,0,0,0,0,0,0,0,0,0,1344.609,969.2613,previewCamera,turnOn,pressed
anditest,0,Tutorial,Tutorial,2.73357,-32.45,1.39,-4.16,-3.116133,2.326306,-7.624052,12.52,40.474,0,1.48804,0,-0.34,0.63,-1.48104,-0.34,0.63,0.007,0.9920264,0.9920264,0.9920264,0,0,0,0,0,0,0,0,0,0,0,0,0,1344.609,969.2613,,,
anditest,0,Tutorial,Tutorial,2.73357,-32.45,1.39,-4.16,-3.116133,2.326306,-7.624052,12.52,40.474,0,1.48804,0,-0.34,0.63,-1.48104,-0.34,0.63,0.007,0.9920264,0.9920264,0.9920264,0,0,0,0,0,0,0,0,0,0,0,0,0,1344.609,969.2613,mouse,left,up
anditest,0,Tutorial,Tutorial,2.889871,-32.45,1.39,-4.16,-3.116133,2.326306,-7.624052,11.799,19.991,0,1.48804,0,-0.34,0.63,-1.48104,-0.34,0.63,0.007,0.9920264,0.9920264,0.9920264,0,0,0,0,0,0,0,0,0,0,0,0,0,1344.609,969.2613,,,
anditest,0,Tutorial,Tutorial,2.99661,-32.45,1.39,-4.16,-3.116133,2.326306,-7.624052,11.799,19.991,0,1.48804,0,-0.34,0.63,-1.48104,-0.34,0.63,0.007,0.9920264,0.9920264,0.9920264,0,0,0,0,0,0,0,0,0,0,0,0,0,1344.609,969.2613,,,
anditest,0,Tutorial,Tutorial,3.103398,-32.45,1.39,-4.16,-3.116133,2.326306,-7.624052,11.799,19.991,0,1.48804,0,-0.34,0.63,-1.48104,-0.34,0.63,0.007,0.9920264,0.9920264,0.9920264,0,0,0,0,0,0,0,0,0,0,0,0,0,1344.609,969.2613,,,
anditest,0,Tutorial,Tutorial,3.215196,-32.45,1.39,-4.16,-3.116133,2.326306,-7.624052,11.799,19.991,0,1.48804,0,-0.34,0.63,-1.48104,-0.34,0.63,0.007,0.9920264,0.9920264,0.9920264,0,0,0,0,0,0,0,0,0,0,0,0,0,1254.113,837.0893,,,
anditest,0,Tutorial,Tutorial,3.323214,-32.45,1.39,-4.16,-3.116133,2.326306,-7.624052,11.799,19.991,0,1.48804,0,-0.34,0.63,-1.48104,-0.34,0.63,0.007,0.9920264,0.9920264,0.9920264,0,0,0,0,0,0,0,0,0,0,0,0,0,1205.292,744.2117,,,
anditest,0,Tutorial,Tutorial,3.435433,-32.45,1.39,-4.16,-3.116133,2.326306,-7.624052,11.799,19.991,0,1.48804,0,-0.34,0.63,-1.48104,-0.34,0.63,0.007,0.9920264,0.9920264,0.9920264,0,0,0,0,0,0,0,0,0,0,0,0,0,1276.737,700.1544,,,
anditest,0,Tutorial,Tutorial,3.543103,-32.45,1.39,-4.16,-3.116133,2.326306,-7.624052,11.799,19.991,0,1.48804,0,-0.34,0.63,-1.48104,-0.34,0.63,0.007,0.9920264,0.9920264,0.9920264,0,0,0,0,0,0,0,0,0,0,0,0,0,1321.985,679.9118,mouse,left,down
anditest,0,Tutorial,Tutorial,3.561101,-32.45,1.39,-4.16,-3.083853,2.329964,-7.634905,11.825,19.751,0,1.48804,0,-0.34,0.63,-1.48104,-0.34,0.63,0.007,0.9920264,0.9920264,0.9920264,0,0,0,0,0,0,0,0,0,0,0,0,0,1306.505,672.7673,,,
anditest,0,Tutorial,Tutorial,3.670619,-32.45,1.39,-4.16,1.202929,2.458531,-7.935721,12.734,-10.993,0,1.48804,0,-0.34,0.63,-1.48104,-0.34,0.63,0.007,0.9920264,0.9920264,0.9920264,0,0,0,0,0,0,0,0,0,0,0,0,0,845.6891,631.0915,,,
anditest,0,Tutorial,Tutorial,3.823752,-32.45,1.39,-4.16,4.594782,2.417018,-6.417317,12.44,-37.529,0,1.48804,0,-0.34,0.63,-1.48104,-0.34,0.63,0.007,0.9920264,0.9920264,0.9920264,0,0,0,0,0,0,0,0,0,0,0,0,0,519.4267,627.5193,,,
