userName,taskNumber,focus,ExperimentState,elapsedTime,headsetX,headsetY,headsetZ,distance,taskID,currentSliver.transform.position.x,currentSliver.transform.position.y,currentSliver.transform.position.z,currentTarget.transform.position.x,currentTarget.transform.position.y,currentTarget.transform.position.z,objectXLength,objectYLength,objectZLength,currentObjectRotationX,currentObjectRotationY,currentObjectRotationZ,targetRotationX,targetRotationY,targetRotationZ,currentObjectRotationXInspector,currentObjectRotationYInspector,currentObjectRotationZInspector,targetRotationXInspector,targetRotationYInspector,targetRotationZInspector,angle,mouseX,mouseY,button,side,status
anditest,0,Tutorial,Tutorial,0.02,-32.45,1.39,-4.16,1.488039,0,-0.3399999,0.6300001,-1.481039,-0.34,0.63,0.007,0.9920264,0.9920264,0.9920264,8.537736E-07,1.280661E-06,2.561321E-06,0,0,0,0,0,0,0,0,0,0,1085,612,,,
anditest,0,Tutorial,Tutorial,1.780169,-32.45,1.39,-4.16,1.488039,0,-0.3399999,0.6300001,-1.481039,-0.34,0.63,0.007,0.9920264,0.9920264,0.9920264,8.537736E-07,1.280661E-06,2.561321E-06,0,0,0,0,0,0,0,0,0,0,544.4322,631.0915,,,
anditest,0,Tutorial,Tutorial,1.885856,-32.45,1.39,-4.16,1.488039,0,-0.3399999,0.6300001,-1.481039,-0.34,0.63,0.007,0.9920264,0.9920264,0.9920264,8.537736E-07,1.280661E-06,2.561321E-06,0,0,0,0,0,0,0,0,0,0,544.4322,631.0915,,,
anditest,0,Tutorial,Tutorial,1.917182,-32.45,1.39,-4.16,1.488039,0,-0.3399999,0.6300001,-1.481039,-0.34,0.63,0.007,0.9920264,0.9920264,0.9920264,8.537736E-07,1.280661E-06,2.561321E-06,0,0,0,0,0,0,0,0,0,0,544.4322,631.0915,mouse,left,down
anditest,0,Tutorial,Tutorial,1.992627,-32.45,1.39,-4.16,1.49686,0,-0.3400609,0.6299982,-1.48986,-0.34,0.63,0.007,0.9920264,0.9920264,0.9920264,4.268868E-07,4.268868E-07,1.707547E-06,0,0,0,0,0,0,0,0,0,0,545.6229,631.0915,,,
anditest,0,Tutorial,Tutorial,2.10201,-32.45,1.39,-4.16,1.638198,0,-0.3407323,0.6564512,-1.630985,-0.34,0.63,0.007,0.9920264,0.9920264,0.9920264,-8.964624E-06,-5.976416E-06,4.675415E-13,0,0,0,0,0,0,0,0,0,0,564.6747,634.6637,,,
anditest,0,Tutorial,Tutorial,2.209201,-32.45,1.39,-4.16,1.877814,0,-0.3415868,0.7093515,-1.869136,-0.34,0.63,0.007,0.9920264,0.9920264,0.9920264,-2.988205E-06,-2.219811E-05,9.391508E-06,0,0,0,0,0,0,0,0,0,0,596.8247,641.8082,,,
anditest,0,Tutorial,Tutorial,2.320273,-32.45,1.39,-4.16,3.062267,0,-0.3474461,0.9121332,-3.042234,-0.34,0.63,0.007,0.9920264,0.9920264,0.9920264,-2.561318E-06,-2.518632E-05,1.195283E-05,0,0,0,0,0,0,0,0,0,0,755.1929,669.1951,,,
anditest,0,Tutorial,Tutorial,2.779217,-32.45,1.39,-4.16,5.30207,0,-0.3616064,1.194274,-5.264914,-0.34,0.63,0.007,0.9920264,0.9920264,0.9920264,-5.976413E-06,-2.134434E-05,1.195283E-05,0,0,0,0,0,0,0,0,0,0,1541.081,670.3859,,,
anditest,0,Tutorial,Tutorial,2.779217,-32.45,1.39,-4.16,5.30207,0,-0.3616064,1.194274,-5.264914,-0.34,0.63,0.007,0.9920264,0.9920264,0.9920264,-5.976413E-06,-2.134434E-05,1.195283E-05,0,0,0,0,0,0,0,0,0,0,1541.081,670.3859,mouse,left,up
anditest,0,Tutorial,Tutorial,2.958114,-32.45,1.39,-4.16,5.30207,0,-0.3616064,1.194274,-5.264914,-0.34,0.63,0.007,0.9920264,0.9920264,0.9920264,-5.976413E-06,-2.134434E-05,1.195283E-05,0,0,0,0,0,0,0,0,0,0,1636.34,653.7155,,,
anditest,0,Tutorial,Tutorial,3.06403,-32.45,1.39,-4.16,5.30207,0,-0.3616064,1.194274,-5.264914,-0.34,0.63,0.007,0.9920264,0.9920264,0.9920264,-5.976413E-06,-2.134434E-05,1.195283E-05,0,0,0,0,0,0,0,0,0,0,1651.819,638.236,,,
anditest,0,Tutorial,Tutorial,3.170784,-32.45,1.39,-4.16,5.30207,0,-0.3616064,1.194274,-5.264914,-0.34,0.63,0.007,0.9920264,0.9920264,0.9920264,-5.976413E-06,-2.134434E-05,1.195283E-05,0,0,0,0,0,0,0,0,0,0,1653.01,650.1433,,,
anditest,0,Tutorial,Tutorial,3.275985,-32.45,1.39,-4.16,5.30207,0,-0.3616064,1.194274,-5.264914,-0.34,0.63,0.007,0.9920264,0.9920264,0.9920264,-5.976413E-06,-2.134434E-05,1.195283E-05,0,0,0,0,0,0,0,0,0,0,1651.819,660.86,,,
anditest,0,Tutorial,Tutorial,3.296578,-32.45,1.39,-4.16,5.30207,0,-0.3616064,1.194274,-5.264914,-0.34,0.63,0.007,0.9920264,0.9920264,0.9920264,-5.976413E-06,-2.134434E-05,1.195283E-05,0,0,0,0,0,0,0,0,0,0,1650.629,660.86,mouse,left,down
anditest,0,Tutorial,Tutorial,3.38798,-32.45,1.39,-4.16,5.302069,0,-0.3616059,1.194273,-5.264913,-0.34,0.63,0.007,0.9920264,0.9920264,0.9920264,0,322.1531,0,0,0,0,0,-37.847,0,0,0,0,37.84688,1628.005,653.7155,,,
anditest,0,Tutorial,Tutorial,3.501313,-32.45,1.39,-4.16,5.302064,0,-0.3616081,1.19427,-5.264909,-0.34,0.63,0.007,0.9920264,0.9920264,0.9920264,-1.862824E-06,258.411,-4.177711E-07,0,0,0,0,-101.589,0,0,0,0,101.589,1589.901,646.5711,,,
anditest,0,Tutorial,Tutorial,3.608352,-32.45,1.39,-4.16,5.302064,0,-0.3616088,1.194269,-5.264908,-0.34,0.63,0.007,0.9920264,0.9920264,0.9920264,0,248.4512,0,0,0,0,0,-111.549,0,0,0,0,111.5488,1583.947,645.3804,,,
anditest,0,Tutorial,Tutorial,3.718524,-32.45,1.39,-4.16,5.302064,0,-0.3616097,1.194268,-5.264909,-0.34,0.63,0.007,0.9920264,0.9920264,0.9920264,8.283681E-06,238.4914,2.681269E-06,0,0,0,0,-121.509,0,0,0,0,121.5086,1579.184,639.4267,,,
