userName,condition,taskNumber,focus,ExperimentState,elapsedTime,headsetX,headsetY,headsetZ,3DCameraXPos,3DCameraYPos,3DCameraZPos,3DCameraXRot,3DCameraYRot,3DCameraZRot,FOV,distance,taskID,currentSliver.transform.position.x,currentSliver.transform.position.y,currentSliver.transform.position.z,currentTarget.transform.position.x,currentTarget.transform.position.y,currentTarget.transform.position.z,objectXLength,objectYLength,objectZLength,currentObjectRotationX,currentObjectRotationY,currentObjectRotationZ,targetRotationX,targetRotationY,targetRotationZ,currentObjectRotationXInspector,currentObjectRotationYInspector,currentObjectRotationZInspector,targetRotationXInspector,targetRotationYInspector,targetRotationZInspector,angle,mouseX,mouseY,button,side,status
9-3-20 AndiTest,Desktop,0,Tutorial,Tutorial,4.453413,-32.45,1.39,-4.16,-3.116133,2.326306,-7.624052,12.52,40.474,0,51,0.04500248,0,-0.326023,0.6147603,-0.03297019,-0.34,0.63,0.007,0.9920264,0.9920264,0.9920264,0,0,0,0,0,0,0,0,0,0,0,0,0,1668.939,462.8295,,,
9-3-20 AndiTest,Desktop,0,Tutorial,Tutorial,4.570085,-32.45,1.39,-4.16,-3.116133,2.326306,-7.624052,12.52,40.474,0,51,0.04500248,0,-0.326023,0.6147603,-0.03297019,-0.34,0.63,0.007,0.9920264,0.9920264,0.9920264,0,0,0,0,0,0,0,0,0,0,0,0,0,1588.682,466.9453,,,
9-3-20 AndiTest,Desktop,0,Tutorial,Tutorial,4.659743,-32.45,1.39,-4.16,-3.116133,2.326306,-7.624052,12.52,40.474,0,51,0.04500248,0,-0.326023,0.6147603,-0.03297019,-0.34,0.63,0.007,0.9920264,0.9920264,0.9920264,0,0,0,0,0,0,0,0,0,0,0,0,0,1588.682,466.9453,mouse,left,down
9-3-20 AndiTest,Desktop,0,Tutorial,Tutorial,4.690312,-32.45,1.39,-4.16,-3.116133,2.326306,-7.624052,12.52,40.474,0,51,0.04500248,0,-0.326023,0.6147603,-0.03297019,-0.34,0.63,0.007,0.9920264,0.9920264,0.9920264,0,0,0,0,0,0,0,0,0,0,0,0,0,1588.682,466.9453,,,
9-3-20 AndiTest,Desktop,0,Tutorial,Tutorial,4.762588,-32.45,1.39,-4.16,-3.116133,2.326306,-7.624052,12.52,40.474,0,51,0.04500248,0,-0.326023,0.6147603,-0.03297019,-0.34,0.63,0.007,0.9920264,0.9920264,0.9920264,0,0,0,0,0,0,0,0,0,0,0,0,0,1588.682,466.9453,mouse,left,up
9-3-20 AndiTest,Desktop,0,Tutorial,Tutorial,4.799599,-32.45,1.39,-4.16,-3.116133,2.326306,-7.624052,12.52,40.474,0,51,0.04500248,0,-0.326023,0.6147603,-0.03297019,-0.34,0.63,0.007,0.9920264,0.9920264,0.9920264,0,0,0,0,0,0,0,0,0,0,0,0,0,1588.682,466.9453,,,
9-3-20 AndiTest,Desktop,0,Tutorial,Tutorial,4.918339,-32.45,1.39,-4.16,-3.116133,2.326306,-7.624052,12.52,40.474,0,51,0.04500248,0,-0.326023,0.6147603,-0.03297019,-0.34,0.63,0.007,0.9920264,0.9920264,0.9920264,0,0,0,0,0,0,0,0,0,0,0,0,0,1588.682,469.0032,,,
9-3-20 AndiTest,Desktop,0,Tutorial,Tutorial,5.034254,-32.45,1.39,-4.16,-3.116133,2.326306,-7.624052,12.52,40.474,0,51,0.04500248,0,-0.326023,0.6147603,-0.03297019,-0.34,0.63,0.007,0.9920264,0.9920264,0.9920264,0,0,0,0,0,0,0,0,0,0,0,0,0,1623.666,469.0032,,,
9-3-20 AndiTest,Desktop,0,Tutorial,Tutorial,5.071687,-32.45,1.39,-4.16,-3.116133,2.326306,-7.624052,12.52,40.474,0,51,0.04500248,0,-0.326023,0.6147603,-0.03297019,-0.34,0.63,0.007,0.9920264,0.9920264,0.9920264,0,0,0,0,0,0,0,0,0,0,0,0,0,1623.666,469.0032,mouse,left,down
9-3-20 AndiTest,Desktop,0,Tutorial,Tutorial,5.146533,-32.45,1.39,-4.16,-3.116133,2.326306,-7.624052,12.52,40.474,0,51,0.04500248,0,-0.326023,0.6147603,-0.03297019,-0.34,0.63,0.007,0.9920264,0.9920264,0.9920264,0,0,0,0,0,0,0,0,0,0,0,0,0,1623.666,469.0032,,,
