userName,taskNumber,elapsedTime,headsetX,headsetY,headsetZ,ControllerLeftX,ControllerLeftY,ControllerLeftZ,ControllerRightX,ControllerRightY,ControllerRightZ,distance,taskID,objectName,objectXLength,objectYLength,objectZLength,currentObjectRotationX,currentObjectRotationY,currentObjectRotationZ,targetRotationX,targetRotationY,targetRotationZ,button,side,status
Katie,0,5.430481,-0.9111838,1.53969,0.8172658,-1.218681,1.378648,1.039403,-1.099397,1.390623,1.127228,0.7269744,0,0CuboidTutorial,0.1,0.1,0.1,0,0,0,0,0,0,,,
Katie,0,5.541912,-0.9089394,1.539407,0.8179702,-1.218228,1.381638,1.038911,-1.095192,1.395496,1.126257,0.7269744,0,0CuboidTutorial,0.1,0.1,0.1,0,0,0,0,0,0,,,
Katie,0,5.654596,-0.9066449,1.539256,0.8184016,-1.21157,1.38443,1.033617,-1.086776,1.396963,1.12016,0.7269744,0,0CuboidTutorial,0.1,0.1,0.1,0,0,0,0,0,0,,,
Katie,0,5.770539,-0.9039963,1.538782,0.8186792,-1.207461,1.379836,1.026344,-1.071225,1.388644,1.120987,0.7269744,0,0CuboidTutorial,0.1,0.1,0.1,0,0,0,0,0,0,,,
Katie,0,5.888417,-0.9015226,1.538304,0.8197676,-1.205466,1.370994,1.033587,-1.064236,1.382679,1.123092,0.7269744,0,0CuboidTutorial,0.1,0.1,0.1,0,0,0,0,0,0,,,
Katie,0,6.000211,-0.8989958,1.537463,0.8212118,-1.206419,1.36568,1.042409,-1.062021,1.380962,1.123192,0.7269744,0,0CuboidTutorial,0.1,0.1,0.1,0,0,0,0,0,0,,,
Katie,0,6.111569,-0.8963218,1.537597,0.8223721,-1.206746,1.364655,1.040213,-1.060907,1.380353,1.116376,0.7269744,0,0CuboidTutorial,0.1,0.1,0.1,0,0,0,0,0,0,,,
Katie,0,6.224154,-0.8937438,1.53874,0.824289,-1.204739,1.362625,1.03818,-1.06428,1.376481,1.114588,0.7269744,0,0CuboidTutorial,0.1,0.1,0.1,0,0,0,0,0,0,,,
Katie,0,6.335783,-0.8929303,1.54284,0.8259212,-1.190248,1.36226,1.040002,-1.059491,1.374068,1.117354,0.7269744,0,0CuboidTutorial,0.1,0.1,0.1,0,0,0,0,0,0,,,
Katie,0,6.447729,-0.8945327,1.551717,0.8267747,-1.174752,1.357625,1.04517,-1.03541,1.371331,1.117389,0.7269744,0,0CuboidTutorial,0.1,0.1,0.1,0,0,0,0,0,0,,,
