userName,taskNumber,elapsedTime,headsetX,headsetY,headsetZ,ControllerLeftX,ControllerLeftY,ControllerLeftZ,ControllerRightX,ControllerRightY,ControllerRightZ,distance,taskID,objectName,objectXLength,objectYLength,objectZLength,currentObjectRotationX,currentObjectRotationY,currentObjectRotationZ,targetRotationX,targetRotationY,targetRotationZ,button,side,status
MattH,0,5.730223,-0.4595219,1.667446,0.6832494,-0.3944187,1.2852,1.048116,-0.2487952,1.279841,0.982808,0.7269744,0,0CuboidTutorial,0.1,0.1,0.1,0,0,0,0,0,0,,,
MattH,0,5.842954,-0.4621324,1.669234,0.6828773,-0.3941855,1.285829,1.048908,-0.2477097,1.282477,0.9833004,0.7269744,0,0CuboidTutorial,0.1,0.1,0.1,0,0,0,0,0,0,,,
MattH,0,5.954834,-0.4651402,1.670947,0.6825138,-0.3935766,1.291101,1.050454,-0.2460723,1.288354,0.9843912,0.7269744,0,0CuboidTutorial,0.1,0.1,0.1,0,0,0,0,0,0,,,
MattH,0,6.0674,-0.4683102,1.67348,0.6812804,-0.3903084,1.305305,1.054655,-0.2445705,1.299694,0.9875783,0.7269744,0,0CuboidTutorial,0.1,0.1,0.1,0,0,0,0,0,0,,,
MattH,0,6.234844,-0.4715892,1.675018,0.6794727,-0.3880214,1.33417,1.059228,-0.2429426,1.318357,0.9912018,0.7269744,0,0CuboidTutorial,0.1,0.1,0.1,0,0,0,0,0,0,,,
MattH,0,6.360173,-0.4762225,1.677212,0.6756588,-0.3869449,1.37503,1.060413,-0.2409106,1.351949,0.9906946,0.7269744,0,0CuboidTutorial,0.1,0.1,0.1,0,0,0,0,0,0,,,
MattH,0,6.468684,-0.4783799,1.678134,0.6711334,-0.3859317,1.38783,1.05954,-0.2400113,1.365838,0.991284,0.7269744,0,0CuboidTutorial,0.1,0.1,0.1,0,0,0,0,0,0,,,
MattH,0,6.593061,-0.4797794,1.680853,0.6642849,-0.3836983,1.402267,1.056487,-0.2371768,1.38772,0.991164,0.7269744,0,0CuboidTutorial,0.1,0.1,0.1,0,0,0,0,0,0,,,
MattH,0,6.713934,-0.48074,1.68312,0.6581508,-0.3817645,1.40883,1.053594,-0.2391325,1.395997,0.988395,0.7269744,0,0CuboidTutorial,0.1,0.1,0.1,0,0,0,0,0,0,,,
MattH,0,6.825788,-0.4810865,1.683717,0.6554024,-0.3814519,1.409551,1.051924,-0.2406789,1.394157,0.9871476,0.7269744,0,0CuboidTutorial,0.1,0.1,0.1,0,0,0,0,0,0,,,
MattH,0,6.937532,-0.4806436,1.683319,0.6551772,-0.381747,1.408783,1.051014,-0.2409538,1.392859,0.9868243,0.7269744,0,0CuboidTutorial,0.1,0.1,0.1,0,0,0,0,0,0,,,
