userName,taskNumber,elapsedTime,headsetX,headsetY,headsetZ,ControllerLeftX,ControllerLeftY,ControllerLeftZ,ControllerRightX,ControllerRightY,ControllerRightZ,distance,taskID,objectName,objectXLength,objectYLength,objectZLength,currentObjectRotationX,currentObjectRotationY,currentObjectRotationZ,targetRotationX,targetRotationY,targetRotationZ,button,side,status,QuaternionAngle
Jassi,0,0.02,-0.1025304,1.564486,0.8150595,0,0,1,0.37,0,1,0.7269744,0,0CuboidTutorial,0.1,0.1,0.1,0,0,0,0,0,0,,,,0
Jassi,0,2.310854,-0.07098025,1.56547,0.8432772,-0.1531078,1.15196,0.9474359,0.01147491,1.147797,0.9872056,0.7269744,0,0CuboidTutorial,0.1,0.1,0.1,0,0,0,0,0,0,,,,0
Jassi,0,2.71948,-0.1467395,1.609965,0.731026,-0.2039025,1.13715,0.917518,-0.0408048,1.139685,0.9382603,0.7269744,0,0CuboidTutorial,0.1,0.1,0.1,0,0,0,0,0,0,,,,0
Jassi,0,2.835647,-0.1483873,1.607595,0.7294044,-0.2057177,1.130644,0.9127146,-0.04054779,1.134971,0.9321892,0.7269744,0,0CuboidTutorial,0.1,0.1,0.1,0,0,0,0,0,0,,,,0
Jassi,0,2.948124,-0.1410501,1.606499,0.7258232,-0.2040438,1.131639,0.9132428,-0.03703499,1.133475,0.9362282,0.7269744,0,0CuboidTutorial,0.1,0.1,0.1,0,0,0,0,0,0,,,,0
Jassi,0,3.06977,-0.1263845,1.607827,0.7236021,-0.1976856,1.138194,0.9166104,-0.03166586,1.144752,0.9412237,0.7269744,0,0CuboidTutorial,0.1,0.1,0.1,0,0,0,0,0,0,,,,0
Jassi,0,3.181767,-0.113547,1.607714,0.7229683,-0.1810756,1.145591,0.9181783,-0.01785499,1.153619,0.9432354,0.7269744,0,0CuboidTutorial,0.1,0.1,0.1,0,0,0,0,0,0,,,,0
Jassi,0,3.294068,-0.1059714,1.606878,0.7216038,-0.1675886,1.150283,0.9169211,-0.006805718,1.148269,0.947462,0.7269744,0,0CuboidTutorial,0.1,0.1,0.1,0,0,0,0,0,0,,,,0
Jassi,0,3.404952,-0.1003361,1.60619,0.7212723,-0.1661884,1.150631,0.9159616,-0.005958498,1.148539,0.9464204,0.7269744,0,0CuboidTutorial,0.1,0.1,0.1,0,0,0,0,0,0,,,,0
Jassi,0,3.52419,-0.09677634,1.605561,0.7211782,-0.1680861,1.149516,0.9155366,-0.006798744,1.149992,0.9453784,0.7269744,0,0CuboidTutorial,0.1,0.1,0.1,0,0,0,0,0,0,,,,0
Jassi,0,3.640208,-0.09566891,1.60647,0.7199944,-0.16849,1.151111,0.91509,-0.006233215,1.150453,0.9459708,0.7269744,0,0CuboidTutorial,0.1,0.1,0.1,0,0,0,0,0,0,,,,0
