name;task;elapsedTime;taskStatus;headset x;headset y;headset z;Controller (left) x;Controller (left) y;Controller (left) z;Controller (right) x;Controller (right) y;Controller (right) z;distance;key;task_count;object_type;object_y_length;object_z_length;enlargement_factor;current_object_rotation_x;current_object_rotation_y;current_object_rotation_z;target_rotation_x;target_rotation_y;target_rotation_z
name;task;elapsedTime;taskStatus;headset x;headset y;headset z;Controller (left) x;Controller (left) y;Controller (left) z;Controller (right) x;Controller (right) y;Controller (right) z;distance;key;;;;;;;;;;;
Bruce;task2;1.444.757;;0;0;0.67;0;0;0.67;0.37;0;0.67;0;A;;;;;;;;;;;
Bruce;task2;1.648.896;;0;0;0.67;0;0;0.67;0.37;0;0.67;0;A;;;;;;;;;;;
Bruce;task2;1.902.184;;0;0;0.67;0;0;0.67;0.37;0;0.67;0;A;;;;;;;;;;;
Bruce;task2;2.127.216;;0;0;0.67;0;0;0.67;0.37;0;0.67;0;A;;;;;;;;;;;
Bruce;task2;2.374.383;;0;0;0.67;0;0;0.67;0.37;0;0.67;0;A;;;;;;;;;;;
Bruce;task2;3.537.955;;0;0;0.67;0;0;0.67;0.37;0;0.67;0;A;;;;;;;;;;;
Bruce;task2;3.738.991;;0;0;0.67;0;0;0.67;0.37;0;0.67;0;A;;;;;;;;;;;
Bruce;task2;3.951.005;;0;0;0.67;0;0;0.67;0.37;0;0.67;0;A;;;;;;;;;;;
Bruce;task2;4.168.797;;0;0;0.67;0;0;0.67;0.37;0;0.67;0;A;;;;;;;;;;;
Bruce;task2;4.385.927;;0;0;0.67;0;0;0.67;0.37;0;0.67;0;A;;;;;;;;;;;
Bruce;task2;4.645.724;;0;0;0.67;0;0;0.67;0.37;0;0.67;0;A;;;;;;;;;;;
Bruce;task2;4.806.565;;0;0;0.67;0;0;0.67;0.37;0;0.67;0;A;;;;;;;;;;;
Bruce;task2;5.037.731;;0;0;0.67;0;0;0.67;0.37;0;0.67;0;A;;;;;;;;;;;
Bruce;task2;5.267.189;;0;0;0.67;0;0;0.67;0.37;0;0.67;0;A;;;;;;;;;;;
Bruce;task2;5.470.929;;0;0;0.67;0;0;0.67;0.37;0;0.67;0;A;;;;;;;;;;;
Bruce;task2;5.694.427;;0;0;0.67;0;0;0.67;0.37;0;0.67;0;A;;;;;;;;;;;
Bruce;task2;5.889.894;;0;0;0.67;0;0;0.67;0.37;0;0.67;0;A;;;;;;;;;;;
Bruce;task2;6.099.039;;0;0;0.67;0;0;0.67;0.37;0;0.67;0;A;;;;;;;;;;;
Bruce;task2;6.309.183;;0;0;0.67;0;0;0.67;0.37;0;0.67;0;A;;;;;;;;;;;
Bruce;task2;6.514.014;;0;0;0.67;0;0;0.67;0.37;0;0.67;0;A;;;;;;;;;;;
Bruce;task2;6.725.863;;0;0;0.67;0;0;0.67;0.37;0;0.67;0;A;;;;;;;;;;;
name;task;elapsedTime;taskStatus;headset x;headset y;headset z;Controller (left) x;Controller (left) y;Controller (left) z;Controller (right) x;Controller (right) y;Controller (right) z;distance;key;;;;;;;;;;;
Bruce;task2;0.02;;0;0;0.67;0;0;0.67;0.37;0;0.67;0;;;;;;;;;;;;
Bruce;task2;0.24;;0;0;0.67;0;0;0.67;0.37;0;0.67;0;A;;;;;;;;;;;
Bruce;task2;0.3011957;;0;0;0.67;0;0;0.67;0.37;0;0.67;0;A;;;;;;;;;;;
Bruce;task2;0.5194814;;0;0;0.67;0;0;0.67;0.37;0;0.67;0;A;;;;;;;;;;;
Bruce;task2;0.8623675;;0;0;0.67;0;0;0.67;0.37;0;0.67;0;A;;;;;;;;;;;
