name,task,elapsedTime,taskStatus,headset x,headset y,headset z,Controller (left) x,Controller (left) y,Controller (left) z,Controller (right) x,Controller (right) y,Controller (right) z,distance,key
Leonard,task1,0.02,,0,0,0.67,0,0,0.67,0.37,0,0.67,0,
Leonard,task1,1.028765,,0,0,0.67,0,0,0.67,0.37,0,0.67,0,
Leonard,task1,2.035172,,0,0,0.67,0,0,0.67,0.37,0,0.67,0,
Leonard,task1,3.041894,,0,0,0.67,0,0,0.67,0.37,0,0.67,0,
Leonard,task1,4.047838,,0,0,0.67,0,0,0.67,0.37,0,0.67,0,
Leonard,task1,5.054499,,0,0,0.67,0,0,0.67,0.37,0,0.67,0,
Leonard,task1,6.059229,,0,0,0.67,0,0,0.67,0.37,0,0.67,0,
Leonard,task1,7.064551,,0,0,0.67,0,0,0.67,0.37,0,0.67,0,
Leonard,task1,8.072306,,0,0,0.67,0,0,0.67,0.37,0,0.67,0,
Leonard,task1,9.079288,,0,0,0.67,0,0,0.67,0.37,0,0.67,0,
Leonard,task1,10.08353,,0,0,0.67,0,0,0.67,0.37,0,0.67,0,
Leonard,task1,11.09119,,0,0,0.67,0,0,0.67,0.37,0,0.67,0,
Leonard,task1,12.09796,,0,0,0.67,0,0,0.67,0.37,0,0.67,0,
Leonard,task1,13.10521,,0,0,0.67,0,0,0.67,0.37,0,0.67,0,
Leonard,task1,14.11177,,0,0,0.67,0,0,0.67,0.37,0,0.67,0,
Leonard,task1,15.11937,,0,0,0.67,0,0,0.67,0.37,0,0.67,0,
Leonard,task1,16.12747,,0,0,0.67,0,0,0.67,0.37,0,0.67,0,
Leonard,task1,17.13201,,0,0,0.67,0,0,0.67,0.37,0,0.67,0,
Leonard,task1,18.13673,,0,0,0.67,0,0,0.67,0.37,0,0.67,0,
Leonard,task1,19.14311,,0,0,0.67,0,0,0.67,0.37,0,0.67,0,
Leonard,task1,20.14957,,0,0,0.67,0,0,0.67,0.37,0,0.67,0,
Leonard,task1,21.15648,,0,0,0.67,0,0,0.67,0.37,0,0.67,0,
name,task,elapsedTime,taskStatus,headset x,headset y,headset z,Controller (left) x,Controller (left) y,Controller (left) z,Controller (right) x,Controller (right) y,Controller (right) z,distance,key
Leonard,task1,0.02,,0.06714477,1.665447,0.5376116,0,0,0.67,0.37,0,0.67,0,
Leonard,task1,1.038351,,0.2076094,1.672697,0.7914145,0.1353848,0.7236493,0.9355451,0.3286266,0.6845443,0.6196705,0,
Leonard,task1,2.054982,,0.1998116,1.682635,0.7502164,0.1804355,0.7124271,0.9033828,0.3505983,0.7190074,0.6042157,0,
Leonard,task1,3.072927,,0.05779072,1.675192,0.628234,0.03000116,0.7461094,0.9032462,0.2974328,0.718913,0.6156177,0,
Leonard,task1,4.084443,,-0.132115,1.643271,0.7038481,-0.05115896,0.7637897,0.9421811,0.08393288,0.7960585,0.6243246,0,
Leonard,task1,5.099788,,-0.3473403,1.658589,0.5629997,-0.3060096,0.7579166,0.8076777,-0.2082559,0.745499,0.4939025,0,
Leonard,task1,6.116428,,-0.6363317,1.66999,0.6605663,-0.6234534,0.7249159,0.848758,-0.47145,0.7421342,0.5642257,0,
Leonard,task1,7.132437,,-0.7227186,1.665122,0.5658732,-0.7435468,0.7188827,0.7583646,-0.5886885,0.7111182,0.4532081,0,
Leonard,task1,8.14899,,-0.7252984,1.642737,0.558606,-0.7500021,0.724735,0.7795617,-0.5564289,0.737901,0.4793355,0,
Leonard,task1,9.165494,,-0.6547038,1.635437,0.4664607,-0.4330882,1.237216,0.7216888,-0.3838244,0.8575982,0.462483,0,
Leonard,task1,10.18171,,-0.7121166,1.643453,0.5287424,-0.408994,1.451325,0.6956137,-0.4225158,0.9032868,0.5183657,0,
Leonard,task1,11.19881,,-0.7345551,1.641166,0.5419169,-0.4261477,1.512364,0.7049153,-0.4332365,0.9201314,0.5002629,0,
Leonard,task1,12.21558,,-0.7292612,1.664595,0.5264134,-0.5862699,1.457696,0.7580306,-0.4397258,0.8937311,0.4819662,0,
Leonard,task1,13.24434,,-0.7096574,1.666816,0.4808213,-0.5905402,1.391124,0.744814,-0.4240529,0.9120359,0.4947641,0,
Leonard,task1,14.25865,,-0.620461,1.622875,0.4856406,-0.5613025,1.10514,0.8674871,-0.3065537,1.299245,0.5679896,0,
Leonard,task1,15.27815,,-0.6111563,1.635302,0.563487,-0.4537066,1.052317,0.8842567,-0.262916,1.444642,0.6392493,0,
Leonard,task1,16.29207,,-0.6106977,1.626079,0.5101163,-0.4715829,1.044333,0.8110905,-0.2988575,1.35942,0.5895291,0,
Leonard,task1,17.31236,,-0.6336588,1.631492,0.4916108,-0.4825037,1.053914,0.7841247,-0.3033574,1.324182,0.5631229,0,
Leonard,task1,18.32759,,-0.6497476,1.633667,0.5093619,-0.4736119,1.134826,0.8032727,-0.3073521,1.355827,0.6254324,0,
Leonard,task1,19.34393,,-0.6426393,1.627711,0.5149146,-0.4913857,1.075152,0.7969078,-0.2885093,1.264568,0.6153932,0,
Leonard,task1,20.35966,,-0.6448137,1.631718,0.514035,-0.497561,1.065349,0.7858147,-0.291339,1.250407,0.6083086,0,
Leonard,task1,21.37743,,-0.674073,1.62109,0.51206,-0.5482426,1.076556,0.7617337,-0.3412408,1.1646,0.5745921,0,
Leonard,task1,22.3926,,-0.6794543,1.620001,0.5203238,-0.5061561,1.191905,0.7656726,-0.4112361,1.049161,0.5075013,0,
Leonard,task1,23.408,,-0.6886468,1.622521,0.5635296,-0.4999467,1.180627,0.7600507,-0.4453388,1.016327,0.5138513,0,
Leonard,task1,24.42436,,-0.6755459,1.616003,0.5766481,-0.484931,1.180684,0.7575038,-0.4446644,0.9922225,0.5040962,0,
Leonard,task1,25.44143,,-0.6956463,1.623919,0.5543085,-0.4418944,1.384487,0.7791718,-0.451871,0.9949495,0.5036944,0,
Leonard,task1,26.46042,,-0.7110241,1.636489,0.5316516,-0.4697375,1.554103,0.7506686,-0.4553775,0.997682,0.4960632,0,
Leonard,task1,27.47355,,-0.711551,1.641087,0.5352131,-0.46629,1.527417,0.7966377,-0.4592739,0.9870953,0.5012687,0,
Leonard,task1,28.48972,,-0.730473,1.644083,0.5535516,-0.5651631,1.508653,0.8634754,-0.4585516,0.9705315,0.5601061,0,
Leonard,task1,29.50639,,-0.7290114,1.641352,0.5546527,-0.5542306,1.461372,0.8903522,-0.4498585,0.9664693,0.5245008,0,
Leonard,task1,30.52325,,-0.7371022,1.641326,0.5587284,-0.5483162,1.419911,0.8760486,-0.4604356,0.9647834,0.5196231,0,
Leonard,task1,31.54034,,-0.7425337,1.64234,0.5553111,-0.5328989,1.353888,0.8593553,-0.4699527,0.9595961,0.4693651,0,
Leonard,task1,32.55804,,-0.6900253,1.631123,0.4553588,-0.5399725,1.267425,0.7752972,-0.4283772,0.9342394,0.3898033,0,
Leonard,task1,33.57473,,-0.6814995,1.613931,0.4959133,-0.4927182,1.219918,0.7814849,-0.445209,0.9255795,0.3821332,0,
Leonard,task1,34.58907,,-0.7186523,1.625535,0.6278391,-0.4846541,1.23699,0.8650923,-0.4585509,1.004474,0.5530357,0,
Leonard,task1,35.60561,,-0.7498807,1.639772,0.6470531,-0.5751911,1.092392,0.8992037,-0.4206293,1.172962,0.5909923,0,
Leonard,task1,36.62327,,-0.665455,1.65065,0.6399528,-0.5638105,1.048733,0.8618456,-0.2357141,1.241561,0.6358407,0,
Leonard,task1,37.6397,,-0.4414626,1.650807,0.5779057,-0.4015201,1.053677,0.8073065,-0.03423464,1.280754,0.6477224,0,
Leonard,task1,38.66486,,-0.38626,1.657958,0.6594605,-0.2872775,1.054516,0.913092,0.05731165,1.388358,0.6702268,0,
Leonard,task1,39.69839,,-0.3632541,1.656601,0.6322892,-0.1973278,1.057871,0.8446599,-0.0189352,1.318266,0.5998579,0,
Leonard,task1,40.72209,,-0.3336571,1.648461,0.606215,-0.2102126,1.050993,0.8687087,0.03567731,1.37141,0.6109989,0,
Leonard,task1,41.73854,,-0.3252268,1.654317,0.6044628,-0.2144701,1.050296,0.8678992,0.04739988,1.35874,0.6180825,0,
Leonard,task1,42.75595,,-0.3396572,1.653606,0.6175614,-0.2115847,1.079494,0.8736253,0.05150402,1.417192,0.56455,0,
Leonard,task1,43.77166,,-0.3538947,1.65011,0.5997023,-0.1711012,1.0664,0.8101931,-0.06319776,1.402287,0.5520337,0,
Leonard,task1,44.78796,,-0.3349914,1.649901,0.6034419,-0.1853033,1.05768,0.8329608,0.01289988,1.363662,0.5986835,0,
Leonard,task1,45.80402,,-0.3174855,1.651372,0.5956032,-0.1985396,1.05454,0.8404207,0.04450721,1.355297,0.6265585,0,
Leonard,task1,46.82117,,-0.3312591,1.6343,0.5836993,-0.1931666,1.15425,0.843232,-0.09788841,1.253082,0.6767252,0,
Leonard,task1,47.83699,,-0.4481004,1.682982,0.5950461,-0.3246334,1.196402,0.9202494,-0.1466199,1.681654,0.492441,0,
Leonard,task1,48.85336,,-0.4677608,1.679387,0.6044685,-0.3312455,1.160037,0.8900993,-0.09386992,1.62585,0.8029494,0,
Leonard,task1,49.87069,,-0.500497,1.681877,0.598052,-0.3250789,1.13181,0.8222731,-0.2425003,1.747626,0.431901,0,
Leonard,task1,50.88708,,-0.5162309,1.676559,0.6189908,-0.3701885,1.134778,0.8420271,-0.1043276,1.604853,0.9407085,0,
Leonard,task1,51.90269,,-0.5523318,1.657654,0.7005777,-0.4744233,1.06812,0.8803188,-0.1072105,1.447978,0.9571875,0,
Leonard,task1,52.91884,,-0.1747595,1.657722,0.8150431,-0.1986467,1.073201,0.9845579,0.04278159,1.51285,1.093729,0,
Leonard,task1,53.93746,,-0.0883414,1.624605,0.9119205,-0.07972714,1.077179,1.104501,0.04478866,1.500348,1.099896,0,
Leonard,task1,54.95262,,-0.07859299,1.615061,0.9178427,-0.07128805,1.073534,1.107027,0.04391301,1.503117,1.104462,0,
Leonard,task1,55.96993,,-0.07230473,1.613514,0.9238509,-0.06392741,1.069871,1.114195,0.04827547,1.506608,1.107454,0,
Leonard,task1,56.9862,,-0.06663939,1.612009,0.9266005,-0.05991724,1.066116,1.115,0.04630351,1.507028,1.109622,0,
Leonard,task1,58.00433,,-0.0676458,1.61711,0.919002,-0.05418527,1.067783,1.105953,0.032161,1.512278,1.106093,0,
Leonard,task1,59.01741,,-0.2271222,1.643942,0.8867104,-0.1515704,1.064874,1.033259,-0.1300112,1.410699,1.016827,0,
Leonard,task1,60.03332,,-0.596146,1.64349,0.8089994,-0.6390922,1.047251,1.006315,-0.5313498,1.391176,1.075313,0,
Leonard,task1,61.05009,,-0.7326695,1.625461,1.022773,-0.6537347,1.049996,1.224918,-0.5213243,1.434511,1.165705,0,
Leonard,task1,62.06666,,-0.7369635,1.610075,1.04057,-0.6590644,1.057733,1.26471,-0.5257583,1.425077,1.175889,0,
Leonard,task1,63.0838,,-0.730799,1.606983,1.023942,-0.6602499,1.060638,1.265301,-0.5222757,1.436167,1.169744,0,
