userName,condition,taskNumber,focus,ExperimentState,elapsedTime,headsetX,headsetY,headsetZ,ControllerLeftX,ControllerLeftY,ControllerLeftZ,ControllerRightX,ControllerRightY,ControllerRightZ,distance,taskID,kidney.rotation.eulerAngles.x,kidney.rotation.eulerAngles.y,kidney.rotation.eulerAngles.z,UnityEditor.TransformUtils.GetInspectorRotation(kidney).x,UnityEditor.TransformUtils.GetInspectorRotation(kidney).y,UnityEditor.TransformUtils.GetInspectorRotation(kidney).z,currentSliver.transform.position.x,currentSliver.transform.position.y,currentSliver.transform.position.z,currentTarget.transform.position.x,currentTarget.transform.position.y,currentTarget.transform.position.z,objectXLength,objectYLength,objectZLength,currentObjectRotationX,currentObjectRotationY,currentObjectRotationZ,targetRotationX,targetRotationY,targetRotationZ,currentObjectRotationXInspector,currentObjectRotationYInspector,currentObjectRotationZInspector,targetRotationXInspector,targetRotationYInspector,targetRotationZInspector,angle,button,side,status
R_2aOBNT9b1VDCwy6,Tabletop,0,Tutorial,Tutorial,0.02,-0.9038574,1.131402,-0.4983107,-0.7339069,0,-0.5846611,-0.7339069,0,-0.5846611,0.1782544,0,0,0,0,0,0,0,-0.6733921,1.123,-0.3135004,-0.6733922,1.123,-0.135246,0.1188363,0.1188363,0.1188363,6.403299E-06,-5.122639E-06,1.707546E-06,0,0,0,0,0,0,0,0,0,0,,,
R_2aOBNT9b1VDCwy6,Tabletop,0,Tutorial,Tutorial,2.189767,-0.9043947,1.130556,-0.4971979,-0.4756172,0.8550129,-0.421625,-0.4930763,0.8706499,-0.5842581,0.1782544,0,0,0,0,0,0,0,-0.6733921,1.123,-0.3135004,-0.6733922,1.123,-0.135246,0.1188363,0.1188363,0.1188363,6.403299E-06,-5.122639E-06,1.707546E-06,0,0,0,0,0,0,0,0,0,0,,,
R_2aOBNT9b1VDCwy6,Tabletop,0,Tutorial,Tutorial,2.574346,-0.9382141,1.136797,-0.488389,-0.4733546,0.8514634,-0.4298947,-0.4819148,0.862376,-0.5667547,0.1782544,0,0,0,0,0,0,0,-0.6733921,1.123,-0.3135004,-0.6733922,1.123,-0.135246,0.1188363,0.1188363,0.1188363,6.403299E-06,-5.122639E-06,1.707546E-06,0,0,0,0,0,0,0,0,0,0,,,
R_2aOBNT9b1VDCwy6,Tabletop,0,Tutorial,Tutorial,2.688934,-0.9406968,1.136309,-0.4887868,-0.4722678,0.8500053,-0.4317495,-0.4798307,0.8577597,-0.562101,0.1782544,0,0,0,0,0,0,0,-0.6733921,1.123,-0.3135004,-0.6733922,1.123,-0.135246,0.1188363,0.1188363,0.1188363,6.403299E-06,-5.122639E-06,1.707546E-06,0,0,0,0,0,0,0,0,0,0,,,
R_2aOBNT9b1VDCwy6,Tabletop,0,Tutorial,Tutorial,2.798508,-0.9412898,1.136587,-0.4889745,-0.4751316,0.852584,-0.4309211,-0.4815543,0.8602918,-0.5657686,0.1782544,0,0,0,0,0,0,0,-0.6733921,1.123,-0.3135004,-0.6733922,1.123,-0.135246,0.1188363,0.1188363,0.1188363,6.403299E-06,-5.122639E-06,1.707546E-06,0,0,0,0,0,0,0,0,0,0,,,
R_2aOBNT9b1VDCwy6,Tabletop,0,Tutorial,Tutorial,2.916401,-0.9385092,1.135326,-0.4897489,-0.4766183,0.8543067,-0.4292354,-0.4869832,0.8663501,-0.5758555,0.1782544,0,0,0,0,0,0,0,-0.6733921,1.123,-0.3135004,-0.6733922,1.123,-0.135246,0.1188363,0.1188363,0.1188363,6.403299E-06,-5.122639E-06,1.707546E-06,0,0,0,0,0,0,0,0,0,0,,,
R_2aOBNT9b1VDCwy6,Tabletop,0,Tutorial,Tutorial,3.043048,-0.9336954,1.13373,-0.4923914,-0.4778129,0.8549327,-0.4284648,-0.490393,0.8679845,-0.5804624,0.1782544,0,0,0,0,0,0,0,-0.6733921,1.123,-0.3135004,-0.6733922,1.123,-0.135246,0.1188363,0.1188363,0.1188363,6.403299E-06,-5.122639E-06,1.707546E-06,0,0,0,0,0,0,0,0,0,0,,,
R_2aOBNT9b1VDCwy6,Tabletop,0,Tutorial,Tutorial,3.15839,-0.9277425,1.131816,-0.4962189,-0.4781879,0.8555945,-0.4254616,-0.4931655,0.8681681,-0.5857053,0.1782544,0,0,0,0,0,0,0,-0.6733921,1.123,-0.3135004,-0.6733922,1.123,-0.135246,0.1188363,0.1188363,0.1188363,6.403299E-06,-5.122639E-06,1.707546E-06,0,0,0,0,0,0,0,0,0,0,,,
R_2aOBNT9b1VDCwy6,Tabletop,0,Tutorial,Tutorial,3.268104,-0.922383,1.130043,-0.4991665,-0.4795596,0.8614128,-0.4183133,-0.4976592,0.8728127,-0.5908388,0.1782544,0,0,0,0,0,0,0,-0.6733921,1.123,-0.3135004,-0.6733922,1.123,-0.135246,0.1188363,0.1188363,0.1188363,6.403299E-06,-5.122639E-06,1.707546E-06,0,0,0,0,0,0,0,0,0,0,,,
R_2aOBNT9b1VDCwy6,Tabletop,0,Tutorial,Tutorial,3.390105,-0.9184176,1.12825,-0.5000096,-0.4819364,0.8670805,-0.4083364,-0.5005361,0.877005,-0.5868515,0.1782544,0,0,0,0,0,0,0,-0.6733921,1.123,-0.3135004,-0.6733922,1.123,-0.135246,0.1188363,0.1188363,0.1188363,6.403299E-06,-5.122639E-06,1.707546E-06,0,0,0,0,0,0,0,0,0,0,,,
